country_iso3,langoff_1,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,net_barter_of_trade,industry_of_gdp,gdp_per_capita,inflation_rate,foreign_direct_investment_inflows,population,gdp_growth,continent,landlocked,area,gdp_us_dollar
CHL,Spanish,61.8956459942552,3.67120659392567,217.8286291,34.701322001914,14637.2334407887,3.34121694259299,25564944876.5765,17233584,6.110918829,America,0,756945,252251992029.0
CHN,Chinese,48.2270401920596,9.17765379535199,79.04874299,46.5292894700168,5618.13226711491,5.55389892257492,280072219149.935,1344130000,9.550832179,Asia,0,9572378,7551500124203.0
CIV,French,76.1561865516736,26.6908494054447,160.5544104,24.2013665756443,1208.58319891729,4.91243395052462,301972462.517861,21028652,-4.387254789,Africa,0,322463,25414875503.0
CMR,French,38.5253691825243,13.4796522667294,162.0134115,27.1917734843232,1405.0941234837,2.93969946305094,653266626.571786,20906392,4.129277161,Africa,0,475442,29375448542.0
COG,French,133.272381880612,3.98393619152519,211.3521221,65.8738951997526,3557.5561698838,1.75958704273802,298288001.186385,4394842,2.205919363,Africa,0,342000,15655384440.0
COL,Spanish,33.1840673361087,6.09169610822214,183.9168246,33.3021551703247,7335.16693447605,3.41758959146978,14647048638.4496,45662747,6.947891982,America,0,1141748,334943871932.0
COM,Arabic,29.6162706984114,30.5642208431509,97.90297633,11.6973085985464,1447.9452695898,1.84266300756184,23118440.5401981,706578,4.099846955,Africa,0,1862,1023086184.0
CPV,Portuguese,54.4504815986588,7.84317609042481,104.806723,17.7643873881182,3740.37410269948,4.47388342165027,102246382.223796,498858,3.968886345,Africa,0,4033,1865915544.0
CRI,Spanish,62.2693413482054,5.59987212230861,99.8176767,22.5898706745828,9229.83451670274,4.87814554580439,2733268839.98155,4633086,4.30710166,America,0,51076,42262697840.0
CYP,Greek,38.0766239191744,2.1512815738882,96.55800006,12.7616461579395,32396.3857437121,3.28944939564212,40445860585.079,1124837,0.4014379411,Europe,0,9251,27565469098.0
CZE,Czech,137.245272930456,1.98251099186352,102.7946126,33.6505738219241,21871.2660754128,1.91721913635547,4188736491.29368,10496088,1.760359624,Europe,1,78864,229562733399.0
DEU,German,72.8781041162014,0.910022423855418,93.15072087,27.0689719182049,46644.776027968,2.07517452479837,97535403952.55,80274983,3.925192705,Europe,0,357325,3744408602684.0
DMA,English,50.8955698307916,12.5010164329487,106.6591703,12.8381025599326,7065.46037237599,1.13123136526474,14192972.5925926,70912,-0.2235506882,America,0,751,501025925.9
DNK,Danish,60.3270660381327,1.31213398990708,100.0856174,20.2546986056117,61753.647131977,2.75868226051246,13558894634.3461,5570572,1.336777767,Europe,0,43094,344003137611.0
DOM,Spanish,44.6340018131851,5.63686024937601,100.2990038,28.3955428840411,5913.42664885493,5.79671466946105,2197500000.0,9813219,3.133423005,America,0,48734,58029750744.0
DZA,Arabic,60.3640647190591,8.11059043573339,262.5470485,49.6247703075793,5455.67902952706,4.52421150505276,2571237024.68517,36661438,2.9,Africa,0,2381741,200254371997.0
ECU,Spanish,58.983309388498,9.60111666656407,167.2646926,37.6346398733428,5200.55510783504,4.47453265795836,646084358.687904,15243885,7.868140919,America,0,275716,79276664000.0
EGY,Arabic,37.8961498067245,13.8691050980964,148.8186622,35.9517175990081,2791.81076592794,10.0649259874818,-482700000.0,84529251,1.764571949,Africa,0,1001449,235989672978.0
ESP,Spanish,46.1975625200227,2.37327299407857,90.06163588,22.0811402539851,31636.4463142558,3.19614641224106,26832032514.651,46742697,-0.8143734552,Europe,0,505954,1478772824224.0
EST,Estonian,146.04927425752,3.64664306166828,96.53669807,25.4901539015155,17624.0445588254,4.9819013145361,1119148299.05952,1327439,7.443936104,Europe,0,45227,23391530006.0
ETH,Amharic,36.8387546550886,41.2499638574537,145.3578014,9.6646421928884,354.4795719088,32.0147888188887,628624805.998665,90139928,11.17829623,Africa,1,1127127,31952763089.0
FIN,Swedish,59.3677534981451,2.32123556803604,88.13399445,25.0310609198073,51081.9976703127,3.42,-6008001205.17497,5388272,2.547664838,Europe,0,336593,275243697751.0
FJI,English,86.129914710793,9.21771557173261,113.4650597,17.4133402875203,4371.44738457557,7.28,217158525.728722,863451,2.705143029,Pacific,0,18333,3774530616.0
FRA,French,46.0088502465644,1.6502871934041,89.9334023,17.978166208294,43790.7260166781,2.11159795174997,44205811126.5792,65342789,2.192700633,Europe,0,547026,2861408170265.0
FSM,English,83.8415221765645,26.3657173621979,88.77017342,8.16256646287716,3009.25682468487,5.08259403890365,0.0,103448,3.188574755,Pacific,0,707,311301600.0
GAB,French,73.7549274185716,3.43228977977158,226.3663882,60.8812104603294,10809.6849503904,1.2633170783742,1123536918.98497,1684629,7.091753343,Africa,0,267667,18210308748.0
GBR,English,44.7884147366718,0.696988990694164,101.0184871,18.7163018080994,42047.6142522206,3.85611244682819,27012050072.3452,63258810,1.540147403,Europe,0,244110,2659310054646.0
GEO,Georgian,61.2545812776947,9.13194158257682,140.9235456,17.9546052192616,4021.74330617286,8.54293333333334,1170087549.5,3756441,7.399999867,Asia,0,69700,15107441447.0
GHA,English,72.7629736251465,23.663704967184,190.2175968,23.8636600934779,1549.46271883345,8.72683683123394,3247588000.0,25387713,14.04712363,Africa,0,238538,39337314810.0
GIN,French,52.1581201660178,16.069749632643,114.8774737,32.6143980733776,651.136113367479,21.3504664236733,956060000.0,10420459,5.612104279,Africa,0,245857,6785137173.0
GMB,English,31.4252473183982,27.202420609824,98.176995,11.5126603208193,762.763117720034,4.79588266183113,36077136.0813735,1848142,-8.130444223,Africa,0,11295,1409694554.0
GNB,Portuguese,43.8254069552064,45.0224585558608,80.92461737,12.4017920538388,703.66056725746,5.04610226320203,25024047.388377,1562996,8.084779734,Africa,0,36125,1099818652.0
GNQ,Spanish,95.854617057799,1.05350238776435,228.8670846,78.0648736926197,21641.6938980227,4.80538922155687,1975000000.0,986861,6.52392363,Africa,0,28051,21357344847.0
GRC,Greek,35.5537488915781,3.11375165365917,89.8408118,14.377117800521,25450.5341194438,3.3298640617472,1092191387.83039,11104899,-9.132494172,Europe,0,131621,287797821676.0
GRD,English,47.1324994494312,4.44779251616389,96.99615811,13.3429542169294,7291.74166956273,3.03347280334727,42648183.7037037,106786,0.764976824,America,0,345,778655925.9
GTM,Spanish,57.628496306513,11.2587427520036,258.2402996,27.9436212267543,3228.0457411296,6.21412393067094,876760590.0,14521515,4.162048937,America,0,108889,47654783852.0
GUY,English,78.5613042705898,25.683716722514,127.8636111,26.4536862005812,4908.56701446734,4.97773563706971,246800000.0,752029,5.19629812,America,0,214970,3691384743.0
HND,Spanish,107.863694087476,14.2196558016976,213.8256444,25.8142160143128,2088.3155465311,6.76227957314765,1042571020.7703,8480670,3.835690662,America,0,112088,17710315006.0
HRV,Serbo-Croatian,57.5667363387379,3.68296629648846,100.8375595,22.4199780007417,14609.5243524166,2.27272727272727,1248979435.63125,4280622,-0.1983692635,Europe,0,56538,62537851352.0
HTI,French,29.1111793515244,20.0431184952698,273.8508193,24.5925797826128,1287.95405805707,6.33279483849046,119000000.0,10100320,6.154225158,America,0,27750,13008748132.0
HUN,Hungarian,151.490138572,4.00038229565524,97.81680877,25.1366480663597,14216.1656114334,3.92992098935075,10740966550.9834,9971727,1.937107794,Europe,1,93032,141759722464.0
IDN,Indonesian,42.6591465057498,13.5122870743946,134.2163952,43.9134234267133,3643.04717619274,5.36,20564938226.7185,245115988,6.169784208,Asia,0,1933658,892969107923.0
IND,English,42.0924840461063,17.1919735574898,89.99256996,30.1616797630696,1458.10406619626,8.85836096636667,36498654597.8589,1250287939,5.241344743,Asia,0,3287590,1823050405350.0
IRL,English,80.938521827632,1.21045539236455,95.71018889,24.6723848164374,51886.5084852792,2.5571888318692,23699352432.596,4580084,0.3434411125,Europe,0,70285,237472361734.0
IRN,Persian,33.3628976246081,5.44726700369876,184.2908369,47.9220542846223,7781.40580096573,26.2933856738609,4276718690.0,74634959,2.645717918,Asia,0,1648100,580764902917.0
IRQ,Arabic,70.5406388710808,4.56377343749618,238.5196939,62.5480287876873,6045.4945669195,5.80145537085299,2082000000.0,30725305,7.5464712,Asia,0,437072,185470085470.0
ISL,Icelandic,66.9311022193534,6.60042661433499,88.72937642,22.3658536476198,47714.5922308485,4.00102664343116,1106958185.40328,319014,1.88162028,Europe,0,102819,15158548263.0
ISR,Hebrew,53.7883174443565,1.56785041493559,91.49836583,20.7463992737259,33610.6940289761,3.47857270934193,8653000000.0,7765800,4.783497509,Asia,0,21621,261468634287.0
ITA,Italian,47.2098266699967,1.88342627816685,94.03176162,21.7497036250001,38599.0622070322,2.78063272879324,34465481829.5319,59379449,0.707333347,Europe,0,301323,2291991045770.0
JAM,English,55.8130314128614,5.64728677796925,92.15338569,18.2490235366752,5111.46598710697,7.55585646580907,172757165.409787,2825932,1.730376267,America,0,10991,14444655300.0
JOR,Arabic,91.2337891894932,3.50500375059406,78.81172359,26.7946689561015,3852.89002548782,4.16244162927781,1486056338.02817,7662858,2.737179832,Asia,0,91862,29524149165.0
JPN,Japanese,27.260657973478,1.0754189233601,61.59802886,26.8817083953574,48167.9972684965,-0.267633600966946,-850717035.068239,127833000,-0.1154213398,Asia,0,377801,6157459594824.0
KAZ,Kazakh,62.9414929838657,4.9889741557576,232.0804198,37.2660880953566,11634.0012021103,8.42488761919795,13760291528.5034,16557202,7.400000001,Asia,1,2717300,192626507972.0
KEN,English,48.9542767822588,26.3046046638708,92.13262128,18.9069378338439,971.633036511422,14.0224939638475,1450460112.22249,43178270,6.10826372,Africa,0,582646,41953433591.0
KGZ,Kyrgyz,100.681437159668,16.56531665018,128.2204491,27.4490880946162,1123.8831680627,16.6363262731496,685760800.0,5514600,5.956274309,Asia,1,198500,6197766119.0
KHM,Khmer,124.743354607075,34.5573140316336,67.73943785,22.1418106043407,882.275613986936,5.47858730411899,1538883424.90021,14541421,7.069569946,Asia,0,181035,12829541141.0
KIR,English,55.584600625557,25.0739372058832,85.12066056,12.8273246936076,1734.90239727549,1.49740979875968,-348737.579186123,104735,1.594561102,Pacific,0,717,181705002.6
KNA,English,35.7073303290382,1.36506714373061,69.7843723,21.4089992979914,16539.7690073067,5.83516519570853,109632707.037037,49442,1.828435302,America,0,269,817759259.3
KOR,Korean,86.1480328301884,2.20919995518876,51.05174842,34.4509672575549,25096.2638838239,4.02584624959385,9773000000.0,49936638,3.685667782,Asia,0,99484,1253223044719.0
KWT,Arabic,82.5563415391273,0.438823407677764,220.7903647,72.7057014119484,48631.7834045849,4.8394034987095,3259067552.4562,3168054,9.628406975,Asia,0,17818,154068115942.0
LAO,Lao,52.5074111004857,20.7912551867683,110.60392,30.8159701948389,1378.36201638757,7.56898856109973,300743507.13,6347564,8.038652681,Asia,1,236800,8749241114.0
LBN,Arabic,66.1555255083281,3.80460970717627,98.07527278,14.5062160702885,7675.30893971499,4.97148571692381,3137050288.4,5202022,0.8673398773,Asia,0,10452,39927125961.0
LBR,English,58.8407005838199,44.3005004170142,149.2426781,8.30011676396997,596.89663532503,8.48816751849397,2086006933.33333,4017446,8.20076584,Africa,0,111369,2398000000.0
LBY,Arabic,77.9840674215495,1.0,209.0821118,80.0,5554.18005326459,15.5184815317562,0.0,6247438,-62.07591958,Africa,0,1759540,34699395524.0
LCA,English,54.3440900373466,2.34202618789067,99.24634389,11.5839152109129,8983.74373302309,2.76940794144096,96416427.7777778,175538,5.483411333,America,0,617,1576988407.0
LKA,Sinhala,46.7203458206856,8.83166396340375,99.79717962,27.9956667878927,3200.86113238282,6.7167684358854,955920000.0,20398496,8.404733021,Asia,0,65610,65292753005.0
LSO,English,142.357491199497,4.54393031933864,73.8478424,33.1994946050199,1287.26953644869,5.03663052101557,61173319.2085146,2003793,5.355154953,Africa,1,30355,2622336148.0
LTU,Lithuanian,137.413412785793,3.49019426022174,93.88788638,28.0787490107662,14376.9478643932,4.13027562645087,1880811089.20549,3028115,6.03900816,Europe,0,65300,43582248870.0
LUX,French,82.8702715202826,0.252350036648048,77.90731105,11.1886704688833,115761.507705096,3.4106834106834,8843156716.781,518347,2.539235768,Europe,1,2586,60004630234.0
LVA,Latvian,103.683791222843,3.29022139171058,104.8307651,21.0060361029564,13776.0887766199,4.37073559939221,1519518896.45563,2059709,6.46884995,Europe,0,64589,28619991392.0
MAR,Arabic,65.034715935211,13.1199875133676,104.8920643,26.6121352019384,3046.94785427611,0.906924909691796,2521362080.65559,32781860,5.245697297,Africa,0,710850,101370474295.0
MDA,Romanian,88.039962899103,11.3842529585114,73.629551,20.910720433661,2942.25594861529,7.68725103356185,358990000.0,2859833,5.818166405,Europe,0,33700,8414360656.0
MDG,French,38.9116138117537,29.050202128158,76.8064817,10.9749695582762,531.265498542052,9.48254048582997,815534454.532063,21743970,1.578429421,Africa,0,587041,11551821062.0
MDV,Maldivian,65.2765098531897,5.385634653611,87.34267166,10.0744819854785,7291.46596660877,11.2734146055937,423530663.953749,380493,8.566733531,Asia,0,298,2774351760.0
MEX,Spanish,60.1984972016312,3.08846155393052,118.426444,33.556801094017,10203.4212952716,3.40737824605736,23835278742.0,115695468,3.66300793,America,0,1967210,1180489601958.0
MHL,English,104.536597972571,13.26697195225,99.913232,14.321804301681,3046.29007147406,5.4,-4380881.13767906,56524,-0.7561434602,Pacific,0,181,174332100.0
MKD,Macedonian,109.62548418091,9.35099292094117,86.30003013,21.5924220032487,5063.88590630977,3.90475422069738,507920732.789,2072484,2.339886045,Europe,1,25713,10494632699.0
MLI,French,44.0627166578842,34.5586305785061,185.7572616,20.6490800268912,837.605820999201,2.95564395229391,556147161.584486,15514593,3.21313378,Africa,1,1240142,12995074801.0
MLT,English,110.790460950395,0.991911789935635,136.1128881,16.3378778862183,23155.5547893882,2.96298528192878,7806911229.55319,416268,0.4670505643,Europe,0,316,9638916472.0
MMR,Burmese,33.7167725169205,32.4961825024034,107.90628,31.2916488307023,1061.92341090353,5.02146014620726,2519813313.27459,50990612,5.591482378,Asia,0,678500,59977326086.0
MNG,Mongolian,109.665916520104,10.3073568180221,207.0824438,31.3337485626924,3757.56541460408,8.41121495327101,4571161962.80891,2770357,17.29077758,Asia,1,1565500,10409797649.0
MOZ,Portuguese,68.9494409329661,25.7515292714485,101.7156638,16.5265916451718,594.586147098683,11.1666056127874,3663937118.45157,24187500,7.417384316,Africa,0,801590,14381552433.0
MRT,Arabic,77.1068870742465,14.5158947387598,163.9744581,44.107903772358,1879.77247186677,5.68631959575963,588749564.2399,3598646,4.172783283,Africa,0,1030700,6764635687.0
MUS,English,66.9710290128143,3.70364769678842,98.68258119,21.5997725671184,9197.04299089459,6.52249254869339,433331010.9385,1252404,4.077538074,Africa,0,2045,11518393367.0
MWI,English,48.138426350224,28.7723804157092,101.9605141,15.4137365919801,534.951050199388,7.62282262848515,812751769.848633,14962118,4.854055109,Africa,1,118484,8004000737.0
MYS,Malay,139.471812471414,11.4533531198278,114.7991949,39.8242687277964,10399.3702125714,3.17447092151309,15119439203.9543,28650962,5.293912834,Asia,0,329758,297951960784.0
NAM,English,87.8355554892372,8.11362715866322,124.8830323,29.3288911332516,5806.74824519587,5.00559518081198,803600584.603823,2156698,5.091338117,Africa,0,825518,12343501808.0
NER,French,39.2114340697603,33.6467642815211,182.0304457,22.7795105220039,512.595335012861,2.94238514013317,1067186136.05029,17114770,2.357756936,Africa,1,1267000,8772951262.0
NGA,English,42.4698075454665,22.2347109927204,219.1989891,28.2777998870502,2487.59801680379,10.8400275418866,8841062050.7726,162805080,5.307924204,Africa,0,923768,404993594134.0
NIC,Spanish,107.301231573617,18.884220035313,278.5234735,23.1573616566978,1655.81805473253,8.0823879809911,936300000.0,5903035,6.316709606,America,0,130670,9774262742.0
NLD,Dutch,139.529538870774,1.57897407431895,91.78790653,20.0661480812905,54159.3466126142,2.3410701775137,332071022439.732,16693074,1.551189312,Europe,0,41863,904085980796.0
NOR,Norwegian,50.4118701555134,1.34465673332777,157.4123989,37.0265440080382,100600.562407589,1.28495158809159,10296323075.6966,4953088,0.9814694973,Europe,0,323752,498283438454.0
NPL,Nepali,30.9549984678486,30.7373089937796,71.99152515,13.5851934741107,799.583376878379,9.22707546125953,94022157.1167852,27041220,3.421828241,Asia,1,147181,18913574371.0
NZL,English,44.4312775672448,6.28423893909166,130.9674814,20.9947189297031,38387.6270784076,4.02790667392038,1378410924.39879,4384000,2.358784916,Pacific,0,268676,168510189201.0
OMN,Arabic,104.772361275533,1.25647475829366,230.3003528,71.5049154509604,20876.5850396107,4.04218867116396,1629144343.30299,3251102,2.658868673,Asia,0,212379,67872692582.0
PAK,Urdu,32.4902104321192,25.1291827073544,50.45370633,20.5017880943991,1164.97882332035,11.9160927116277,1326000000.0,183340168,2.748405917,Asia,0,882872,213587413184.0
PAN,Spanish,104.816901246029,3.22923814081681,180.4503124,19.8372839919046,9358.26157385486,5.87580243678762,4395600000.0,3706479,11.31373175,America,0,75648,34686200000.0
PER,Spanish,48.9765657046099,7.10011013658205,203.2808837,37.2361002771383,5869.32388186462,3.36931095333853,7682261108.57854,29264314,6.327192402,America,0,1285216,171761737047.0
PHL,English,47.818063289947,14.0957351510823,75.11144806,31.3386827828469,2450.73569408545,4.71841704718416,2007150725.40003,95570049,3.858232828,Asia,0,300000,234216730704.0
PLW,English,68.5588572711239,3.75859969295789,84.0194668,8.17424716026674,11094.8332206446,4.67469879518072,8326127.02949998,17748,6.683682862,Pacific,0,487,196911100.0
PNG,English,62.1632228796478,19.1997113715188,226.4494699,31.3362203529409,2406.91096725754,4.44083401028976,36419303.6839465,7472196,1.107543597,Pacific,0,462840,17984910496.0
POL,Polish,75.5805490876543,3.08506431236907,99.34090465,29.5788982086579,13879.5609852546,4.23940149625935,18534000000.0,38063255,4.757638004,Europe,0,312685,528301269070.0
PRK,Korean,86.0,5.0,83.14735942,34.45,639.0,4.026,103125000.0,24673392,3.686,Asia,0,120538,441969000000.0
PRT,Portuguese,58.2167543311327,1.83401602752623,90.98701987,19.3449680402193,23186.9131283278,3.65301100430729,9821076889.908,10557560,-1.696164781,Europe,0,92389,244797226567.0
PRY,Spanish,59.6304586516203,14.1250204425197,113.2161519,33.7057682962777,5329.38743682686,8.25396825396825,463994000.0,6333981,4.249111045,America,1,406752,33715524704.0
QAT,Arabic,81.5233384096972,0.0966060405058313,213.0959302,73.2142657935366,82409.9416434106,1.13836623529203,938516483.516483,2035862,13.37517641,Asia,0,11437,167775268614.0
RUS,Russian,41.3427544275876,3.1507257212962,194.4982951,29.4135888383738,14311.0843159612,8.44046485932559,55083630000.0,142960908,4.300029186,Asia,0,17075400,2045925608274.0
RWA,French,36.3753245066492,23.8500827456247,181.854096,18.1489624599224,668.494672193863,3.1,112127535.812557,10293333,7.958406046,Africa,1,26338,6884889636.0
SAU,Arabic,73.9356798723291,2.17142778334318,148.2665575,63.6763624880147,23745.8805777495,5.82621608838853,16308280000.0,28267591,9.996846552,Asia,0,2153168,671238840108.0
SDN,Arabic,33.5606299632224,31.9629818007982,246.9933386,23.3344425286602,1437.77983086377,18.0966171221351,1734376994.48388,35349676,-1.967695859,Africa,0,2505813,57060450038.0
SEN,French,47.4394575995592,12.9470610352017,106.0818813,23.3061329625455,1366.77450070807,3.40322829786967,338661995.579347,13033814,1.458388671,Africa,0,196722,17902207622.0
