source,target,weight
ESP,GTM,243126.2510092614
ESP,DNK,1833168.5764418
ESP,DOM,577539.6998502854
ESP,MEX,5179421.329061665
ESP,PER,994198.6000429152
ESP,VNM,473323.953722956
ESP,LUX,357231.0897906275
ESP,CHN,7043512.881698167
ESP,AGO,263208.73263267864
ESP,PHL,474214.05907715135
ESP,GBR,21298673.912880182
ESP,ZAF,1343935.9043873867
ESP,QAT,463684.1996917901
ESP,ISR,1705745.9447114526
ESP,JPN,2751195.238095228
ESP,PAK,273737.92240561376
ESP,PRT,22319929.52241308
ESP,SVK,1127385.576940862
ESP,IRQ,212636.41684393943
ESP,SAU,2538384.473761936
ESP,JOR,479074.6887194258
NPL,IND,420179.7649961017
MOZ,NLD,472027.40909
MOZ,ITA,269905.38805
MOZ,IND,1621695.7345899995
MOZ,CHN,241802.14547
MOZ,GBR,210435.08601000003
MOZ,ZAF,854553.1192300001
GUY,TTO,204274.05797247463
GUY,USA,285446.4307848231
GUY,CAN,409562.3296017917
ZMB,CHE,3632991.347560001
ZMB,ARE,293709.41077
ZMB,SGP,495191.44643000007
ZMB,CHN,1328351.73615
ZMB,GBR,184494.20142
ZMB,ZAF,451345.66113
LSO,USA,305950.04772629053
LSO,ZAF,331104.7763217408
LKA,NLD,218110.3311097788
LKA,FRA,197520.66151917988
LKA,TUR,234955.1133812316
LKA,ITA,531611.3691368806
LKA,ARE,299821.9051996736
LKA,RUS,213091.91021531267
LKA,USA,2917866.839784208
LKA,CAN,208843.2769026868
LKA,AUS,186073.8762754265
LKA,IND,774480.3983513472
LKA,SGP,231865.83028622705
LKA,BEL,347435.7346382409
LKA,DEU,547044.4905117342
LKA,CHN,430324.7787042246
LKA,GBR,1041823.1146308576
LKA,JPN,209514.71292330284
OMN,IRN,568537.43127636
OMN,KWT,316413.47737454006
OMN,ARE,2250076.952239481
OMN,BRA,215911.31216746
OMN,USA,336882.51844520005
OMN,MYS,224170.40635262
OMN,IND,928337.4249021596
OMN,YEM,485328.99923326005
OMN,CHN,691293.5268603002
OMN,ZAF,359973.58268690004
OMN,QAT,1336952.6391020794
OMN,PAK,494863.9606638
OMN,SAU,1313852.0221954396
TZA,CHE,262392.07048999995
TZA,IND,982895.1617400002
TZA,KEN,285993.25124000007
TZA,BEL,193526.19863000003
TZA,VNM,314800.61028
TZA,ZAF,699790.5120200003
KOR,GHA,243756.538
KOR,HRV,327582.34199999995
KOR,BHS,1737240.168
KOR,IRN,4020954.666000001
KOR,POL,3115940.402
KOR,IDN,8402561.457000002
KOR,SVN,1912471.378
KOR,ESP,2790389.19
KOR,LKA,284100.81700000004
KOR,OMN,641187.876
KOR,NLD,4648773.001000001
KOR,SWE,895446.7749999997
KOR,KWT,1162468.896
KOR,CZE,2211599.23
KOR,UKR,258507.777
KOR,CHE,499178.473
KOR,FRA,3043314.3430000003
KOR,TUR,6154673.173
KOR,THA,7461467.303
KOR,KHM,603709.312
KOR,ITA,3757750.1769999983
KOR,MAR,274907.77300000004
KOR,MMR,572994.7960000003
KOR,CYP,764858.251
KOR,NOR,4678153.453000002
KOR,NZL,1305012.968
KOR,ARE,5388052.048
KOR,RUS,6906327.482999997
KOR,LBY,280137.662
KOR,BRA,5504905.723999999
KOR,FIN,296908.782
KOR,COL,813684.5039999998
KOR,USA,68842384.21999997
KOR,LBR,1305069.9830000002
KOR,LTU,310456.45200000005
KOR,BGD,1276290.6529999997
KOR,PAN,1641932.6349999998
KOR,GRC,1627584.4160000002
KOR,ARG,836124.8950000001
KOR,CHL,1529920.2529999998
KOR,CAN,4715124.266999999
KOR,AUT,959256.233
KOR,MLT,659684.5420000001
KOR,ECU,608842.5019999999
KOR,AUS,19859430.360000007
KOR,DZA,1238207.384
KOR,KAZ,532676.348
KOR,MYS,8044163.006000003
KOR,NGA,2121875.638
KOR,BHR,289747.257
KOR,IND,15054321.99799999
KOR,IRL,693114.8789999998
KOR,SGP,11650886.886
KOR,LBN,188486.87400000004
KOR,FJI,211696.26
KOR,KEN,204895.727
KOR,MNG,228302.9519999999
KOR,EGY,1324840.325
KOR,BEL,2795071.847
KOR,DEU,8481081.708000002
KOR,HUN,1206014.8979999996
KOR,GTM,241016.193
KOR,DNK,1496168.5179999997
KOR,DOM,266878.83800000005
KOR,MEX,10932258.176
KOR,PER,913621.5049999998
KOR,VNM,47748803.77100001
KOR,CHN,142113749.09600008
KOR,AGO,338843.7870000001
KOR,PHL,10592713.529
KOR,GBR,8628245.436999999
KOR,ZAF,969679.487
KOR,QAT,435409.64400000015
KOR,ISR,1265632.3470000003
KOR,UZB,1180379.245
KOR,JPN,26810045.060999986
KOR,TGO,1044258.2890000002
KOR,PAK,1006728.179
KOR,PRT,458696.9049999999
KOR,SVK,2772607.7020000005
KOR,IRQ,1461632.4259999995
KOR,SAU,5146904.225000002
KOR,JOR,647869.061
NLD,GHA,742470.1128354624
NLD,HRV,711951.7463225949
NLD,ETH,182440.6996503551
NLD,BHS,188864.47218157112
NLD,IRN,1194063.8750969097
NLD,POL,13134205.888625337
