iso_o,iso_d,dist
AFG,LBR,8699.117
AFG,LBY,5133.119
AFG,LCA,12492.83
AFG,LKA,3261.061
AFG,LSO,8347.427
AFG,LTU,4042.829
AFG,LUX,5304.336
AFG,LVA,4186.274
AFG,MAC,4512.573
AFG,MAR,6811.536
AFG,MDA,3626.967
AFG,MDG,6370.142
AFG,MDV,3406.564
AFG,MEX,13906.07
AFG,MHL,10652.17
AFG,MKD,4198.337
AFG,MLI,8056.615
AFG,MLT,4906.982
AFG,MMR,3330.212
AFG,MNG,3443.545
AFG,MNP,7848.57
AFG,MOZ,7760.658
AFG,MRT,8455.042
AFG,MSR,12360.26
AFG,MTQ,12452.47
AFG,MUS,6210.945
AFG,MWI,6565.831
AFG,MYS,4846.316
AFG,NAM,8405.997
AFG,NCL,12033.22
AFG,NER,7082.385
AFG,NFK,12536.67
AFG,NGA,7391.676
AFG,NIC,14235.58
AFG,NIU,13997.75
AFG,NLD,5361.4
AFG,NOR,5014.602
AFG,NPL,1710.066
AFG,NRU,10757.73
AFG,NZL,13762
AFG,OMN,1587.942
AFG,PAK,374.6522
AFG,PAL,3244.844
AFG,PAN,14179.02
AFG,PCN,17900.4
AFG,PER,15811.19
AFG,PHL,5617.854
AFG,PLW,7294.72
AFG,PNG,9528.009
AFG,POL,4267.977
AFG,PRI,12479.58
AFG,PRK,4989.095
AFG,PRT,6791.342
AFG,PRY,14862.55
AFG,PYF,15755.99
AFG,QAT,1987.925
AFG,REU,6333.151
AFG,ROM,3813.935
AFG,RUS,3367.526
AFG,RWA,5755.222
AFG,SAU,2425.437
AFG,SDN,4222.921
AFG,SEN,8799.582
AFG,SGP,5157.892
AFG,SHN,9691.432
AFG,SLB,10680.29
AFG,SLE,8795.566
AFG,SLV,14203.46
AFG,SMR,4901.499
AFG,SOM,4380.182
AFG,SPM,9474.967
AFG,STP,7512.917
AFG,SUR,12679.81
AFG,SVK,4508.77
AFG,SVN,4719.426
AFG,SWE,4597.182
AFG,SWZ,7872.171
AFG,SYC,4589.381
AFG,SYR,3022.602
AFG,TCA,12522.61
AFG,TCD,5989.595
AFG,TGO,7601.833
AFG,THA,3903.415
AFG,TJK,459.2474
AFG,TKL,13214.7
AFG,TKM,1042.731
AFG,TMP,7622.778
AFG,TON,13625
AFG,TTO,12807
AFG,TUN,5252.618
AFG,TUR,3581.608
AFG,TUV,12382.26
AFG,TWN,5105.786
AFG,TZA,5574.784
AFG,UGA,5380.85
AFG,UKR,3580.626
AFG,URY,15100.65
AFG,USA,10847.88
AFG,UZB,751.2709
AFG,VCT,12577.82
AFG,VEN,13208.57
AFG,VGB,12377.8
AFG,VNM,3884.103
AFG,VUT,11938.98
AFG,WLF,13094.98
AFG,WSM,12020.44
AFG,YEM,3279.877
AFG,YUG,4258.76
AFG,ZAF,9273.133
AFG,ZAR,7100.062
AFG,ZMB,7048.76
AFG,ZWE,7088.189
AGO,ABW,9516.913
AGO,AFG,7607.8
AGO,AGO,419.9666
AGO,AIA,8901.464
AGO,ALB,5623.827
AGO,AND,5837.088
AGO,ANT,9383.188
AGO,ARE,5805.255
AGO,ARG,7792.03
AGO,ARM,6331.346
AGO,ATG,8746.965
AGO,AUS,13528.2
AGO,AUT,6357.017
AGO,AZE,6643.251
AGO,BDI,1878.576
AGO,BEL,6696.229
AGO,BEN,2071.837
AGO,BFA,2876.135
AGO,BGD,9121.098
AGO,BGR,5822.248
AGO,BHR,5615.473
AGO,BHS,10490.61
AGO,BIH,5888.789
AGO,BLR,7104.678
AGO,BLZ,11578.9
AGO,BMU,9436.543
AGO,BOL,8830.234
AGO,BRA,6559.966
AGO,BRB,8414.008
AGO,BRN,11386.53
AGO,BTN,9162.635
AGO,BWA,2223.578
AGO,CAF,1586.979
AGO,CAN,10904.94
AGO,CCK,9114.437
AGO,CHE,6235.385
AGO,CHL,8914.097
AGO,CHN,11769.51
AGO,CIV,2480.138
AGO,CMR,1424.688
AGO,COG,556.9467
AGO,COK,16605.09
AGO,COL,9911.524
AGO,COM,3301.018
AGO,CPV,4839.974
AGO,CRI,10980.7
AGO,CUB,10977.25
AGO,CXR,10106.6
AGO,CYM,10823.14
AGO,CYP,5332.035
AGO,CZE,6560.238
AGO,DEU,6738.352
AGO,DJI,4015.184
AGO,DMA,8654.339
AGO,DNK,7179.064
AGO,DOM,9602.552
AGO,DZA,5194.244
AGO,ECU,10205.4
AGO,EGY,4736.951
AGO,ERI,3901.954
AGO,ESH,4917.631
AGO,ESP,5752.252
AGO,EST,7665.317
AGO,ETH,3464.567
AGO,FIN,7746.235
AGO,FJI,16618.51
AGO,FLK,7947.249
AGO,FRA,6510.322
AGO,FRO,8073.677
AGO,FSM,16170.59
AGO,GAB,1110.371
AGO,GBR,6837.594
AGO,GEO,6482.799
AGO,GHA,2192.395
AGO,GIB,5370.596
AGO,GIN,3804.649
AGO,GLP,8708.249
AGO,GMB,4132.186
AGO,GNB,3941.227
AGO,GNQ,1485.016
AGO,GRC,5325.223
AGO,GRD,8613.741
AGO,GRL,9737.886
AGO,GTM,11735.94
AGO,GUF,7436.134
AGO,GUY,8109.865
AGO,HKG,11504.13
AGO,HND,11377.58
AGO,HRV,6086.698
AGO,HTI,9868.396
AGO,HUN,6296.004
AGO,IDN,10294.87
AGO,IND,8025.968
AGO,IRL,7160.81
AGO,IRN,6368.018
AGO,IRQ,5736.821
AGO,ISL,8642.954
AGO,ISR,5096.148
AGO,ITA,5645.243
AGO,JAM,10324.34
AGO,JOR,5140.358
AGO,JPN,13861.75
AGO,KAZ,8643.737
AGO,KEN,2744.311
AGO,KGZ,8454.77
AGO,KHM,10393.31
AGO,KIR,17657.94
AGO,KNA,8842.232
AGO,KOR,12705.4
AGO,KWT,5649.504
AGO,LAO,10254.81
AGO,LBN,5301.993
AGO,LBR,3154.236
AGO,LBY,4626.358
AGO,LCA,8580.775
AGO,LKA,7594.32
AGO,LSO,2721.224
AGO,LTU,7158.965
AGO,LUX,6540.273
AGO,LVA,7388.835
AGO,MAC,11443.56
AGO,MAR,5221.762
AGO,MDA,6403.256
AGO,MDG,3857.428
AGO,MDV,6836.069
AGO,MEX,12686
AGO,MHL,17596.71
AGO,MKD,5719.467
AGO,MLI,3352.429
AGO,MLT,4980.603
AGO,MMR,9555.35
AGO,MNG,11014.06
AGO,MNP,14824.51
AGO,MOZ,2794.277
AGO,MRT,4395.738
AGO,MSR,8775.924
AGO,MTQ,8605.604
AGO,MUS,4915.372
AGO,MWI,2314.207
AGO,MYS,9900.254
AGO,NAM,1582.875
AGO,NCL,15503.07
AGO,NER,2778.376
AGO,NFK,15020.05
AGO,NGA,2017.813
AGO,NIC,11252.12
AGO,NIU,16914.76
AGO,NLD,6856.132
AGO,NOR,7655.045
AGO,NPL,8745.843
AGO,NRU,16933.59
AGO,NZL,13836.31
AGO,OMN,6115.173
AGO,PAK,7889.046
AGO,PAL,5027.387
AGO,PAN,10468.29
AGO,PCN,14553.54
AGO,PER,9843.897
AGO,PHL,12159.63
AGO,PLW,13562.46
AGO,PNG,14529.4
AGO,POL,6838.712
AGO,PRI,9222.951
AGO,PRK,12578.15
AGO,PRT,5779.503
AGO,PRY,7684.19
AGO,PYF,16543.5
AGO,QAT,5620.981
AGO,REU,4718.442
AGO,ROM,6066.591
AGO,RUS,7535.854
AGO,RWA,2014.346
AGO,SAU,5207.322
AGO,SDN,3447.449
AGO,SEN,4277.941
AGO,SGP,10104.83
AGO,SHN,2203.998
AGO,SLB,15818.79
AGO,SLE,3517.934
AGO,SLV,11580.46
AGO,SMR,5875.244
AGO,SOM,3760.601
AGO,SPM,9206.762
AGO,STP,1239.145
AGO,SUR,7771.882
AGO,SVK,6355.751
AGO,SVN,6111.597
AGO,SWE,7599.202
AGO,SWZ,2711.923
AGO,SYC,4687.008
AGO,SYR,5305.969
AGO,TCA,9801.308
AGO,TCD,2345.135
AGO,TGO,2128.469
AGO,THA,9955.721
AGO,TJK,7803.152
AGO,TKL,17965.46
AGO,TKM,7002.799
AGO,TMP,12285.98
AGO,TON,16570.23
AGO,TTO,8557.671
AGO,TUN,5092.534
AGO,TUR,5778.666
AGO,TUV,17554.26
AGO,TWN,12268.99
AGO,TZA,2880.082
AGO,UGA,2373.897
AGO,UKR,6802.643
AGO,URY,7581.052
AGO,USA,10427.39
