source,target,dist
ALB,TKM,3299.434
ALB,TON,17378.83
ALB,TTO,8516.849
ALB,TUN,968.0001
ALB,TUR,765.4231
ALB,TZA,5719.308
ALB,UGA,4740.878
ALB,UKR,1303.97
ALB,URY,11489.65
ALB,USA,7439.631
ALB,UZB,4072.698
ALB,VCT,8309.629
ALB,VNM,8172.986
ALB,WSM,15940.78
ALB,YEM,3720.742
ALB,ZAF,8378.26
ALB,ZMB,6381.482
ALB,ZWE,6686.429
ARE,AFG,1813.615
ARE,AGO,5805.255
ARE,ALB,3702.809
ARE,ARE,108.789
ARE,ARG,13557.2
ARE,ARM,1979.161
ARE,ATG,11712.02
ARE,AUS,12092.16
ARE,AUT,4245.842
ARE,AZE,1819.476
ARE,BDI,4119.438
ARE,BEL,5159.97
ARE,BEN,5879.008
ARE,BFA,6035.036
ARE,BGD,3643.561
ARE,BGR,3493.288
ARE,BHR,426.6576
ARE,BHS,12456.86
ARE,BIH,3908.161
ARE,BLR,3961.286
ARE,BOL,14022.32
ARE,BRA,12129.45
ARE,BRN,6813.557
ARE,BTN,3539.244
ARE,BWA,6280.032
ARE,CAF,4435.249
ARE,CAN,11105.9
ARE,CHE,4830.737
ARE,CHL,14654.8
ARE,CHN,5966.427
ARE,CIV,6583.225
ARE,CMR,5133.86
ARE,COG,5308.856
ARE,COL,13680.45
ARE,COM,4200.173
ARE,CRI,14115.79
ARE,CYP,2348.921
ARE,CZE,4461.374
ARE,DEU,5004.562
ARE,DMA,11779.04
ARE,DNK,4849.585
ARE,DOM,12322.73
ARE,DZA,5048.766
ARE,ECU,14293.43
ARE,EGY,2370.061
ARE,ESP,5634.667
ARE,EST,4521.909
ARE,ETH,2383.193
ARE,FIN,4570.317
ARE,FJI,14221.56
ARE,FRA,5249.535
ARE,GAB,5535.105
ARE,GBR,5483.745
ARE,GEO,2114.942
ARE,GHA,6195.803
ARE,GIN,7575.714
ARE,GMB,7505.942
ARE,GNB,7470.093
ARE,GNQ,5400.135
ARE,GRC,3264.319
ARE,GRD,11998.1
ARE,GTM,14250.57
ARE,GUY,11948.63
ARE,HND,14053.64
ARE,HRV,4168.243
ARE,HTI,12534.01
ARE,HUN,4030.737
ARE,IDN,6613.254
ARE,IND,2312.871
ARE,IRL,5925.424
ARE,IRN,1279.036
ARE,IRQ,1384.182
ARE,ISL,6924.49
ARE,ISR,2099.993
ARE,ITA,4303.976
ARE,JAM,12941.74
ARE,JOR,1991.235
ARE,JPN,8062.889
ARE,KAZ,2932.293
ARE,KEN,3437.679
ARE,KGZ,2760.658
ARE,KHM,5501.911
ARE,KIR,12833.37
ARE,KNA,11782.34
ARE,KOR,6909.236
ARE,KWT,835.7674
ARE,LAO,5029.932
ARE,LBN,2110.076
ARE,LBR,7214.983
ARE,LBY,4112.479
ARE,LCA,11816.59
ARE,LKA,3342.212
ARE,LSO,6642.855
ARE,LTU,4127.873
ARE,LUX,4999.584
ARE,LVA,4355.656
ARE,MAR,5957.76
ARE,MDA,3379.927
ARE,MDG,4880.935
ARE,MDV,3044.644
ARE,MEX,14372.35
ARE,MKD,3601.211
ARE,MLI,6661.39
ARE,MLT,4011.032
ARE,MMR,4415.291
ARE,MNG,5255.396
ARE,MOZ,6084.785
ARE,MRT,7257.155
ARE,MUS,4978.871
ARE,MWI,4827.794
ARE,MYS,5594.997
ARE,NAM,6607.643
ARE,NER,5607.444
ARE,NGA,5782.212
ARE,NIC,14136.88
ARE,NLD,5170.816
ARE,NOR,5174.927
ARE,NPL,3101.719
ARE,NZL,14269.96
ARE,OMN,438.8936
ARE,PAK,2083.979
ARE,PAN,13801.21
ARE,PER,14751.96
ARE,PHL,7004.581
ARE,PLW,8676.9
ARE,PNG,10723.96
ARE,POL,4181.628
ARE,PRT,6107.288
ARE,PRY,13254.52
ARE,QAT,303.9436
ARE,RUS,3739.195
ARE,RWA,3943.711
ARE,SAU,774.5853
ARE,SEN,7540.002
ARE,SGP,5904.872
ARE,SLE,7373.162
ARE,SLV,14231.77
ARE,STP,5800.834
ARE,SUR,11708.35
ARE,SVK,4189.749
ARE,SVN,4284.904
ARE,SWE,4796.377
ARE,SWZ,6183.374
ARE,SYC,3240.803
ARE,TCD,4367.363
ARE,TGO,6006.473
ARE,THA,4967.796
ARE,TJK,2082.549
ARE,TKM,1547.007
ARE,TON,14953.17
ARE,TTO,12059.1
ARE,TUN,4406.945
ARE,TUR,2994.246
ARE,TZA,3852.073
ARE,UGA,3570.466
ARE,UKR,3545.552
ARE,URY,13351.9
ARE,USA,11029.46
ARE,UZB,2318.684
ARE,VCT,11886.66
ARE,VNM,5265.521
ARE,WSM,13390.29
ARE,YEM,1466.264
ARE,ZAF,7530.202
ARE,ZMB,5274.503
ARE,ZWE,5347.186
ARG,AFG,15298.5
ARG,AGO,7792.03
ARG,ALB,11632.19
ARG,ARE,13557.2
ARG,ARG,625.6475
ARG,ARM,13417.64
ARG,ATG,5776.082
ARG,AUS,11801.36
ARG,AUT,11833.76
ARG,AZE,13853.84
ARG,BDI,9604.157
ARG,BEL,11326.76
ARG,BEN,7854.464
ARG,BFA,7952.697
ARG,BGD,16788.4
ARG,BGR,11954.84
ARG,BHR,13304.57
ARG,BHS,6940.775
ARG,BIH,11694.93
ARG,BLR,12819.34
ARG,BOL,2239.669
ARG,BRA,1691.067
ARG,BRN,16656.76
ARG,BTN,16919.79
ARG,BWA,8001.549
ARG,CAF,9125.232
ARG,CAN,8970.104
ARG,CHE,11214.51
ARG,CHL,1128.317
ARG,CHN,19297.47
ARG,CIV,7231.426
ARG,CMR,8456.569
ARG,COG,8261.97
ARG,COL,4706.263
ARG,COM,10331.04
ARG,CRI,5653.427
ARG,CYP,12291.57
ARG,CZE,11836.83
ARG,DEU,11512.14
ARG,DMA,5569.61
ARG,DNK,12089.47
ARG,DOM,6036.692
ARG,DZA,10188.35
ARG,ECU,4360.514
ARG,EGY,11838.13
ARG,ESP,10065.85
ARG,EST,12925.75
ARG,ETH,11256.4
ARG,FIN,12971.3
ARG,FJI,11625.82
ARG,FRA,11072.25
ARG,GAB,8037.772
ARG,GBR,11147.48
ARG,GEO,13503.55
ARG,GHA,7560.425
ARG,GIN,6668.47
ARG,GMB,6944.681
ARG,GNB,6874.063
ARG,GNQ,8210.386
ARG,GRC,11711.41
ARG,GRD,5212.585
ARG,GTM,6446.824
ARG,GUY,4611.63
ARG,HND,6217.953
ARG,HRV,11656.09
ARG,HTI,6101.208
ARG,HUN,11957.08
ARG,IDN,15235.78
ARG,IND,15817.92
ARG,IRL,11012.97
ARG,IRN,13803.13
ARG,IRQ,13110.86
ARG,ISL,11455.87
ARG,ISR,12241.62
ARG,ITA,11173.56
ARG,JAM,6169.833
ARG,JOR,12330.83
ARG,JPN,18372.04
ARG,KAZ,16110.66
ARG,KEN,10423.36
ARG,KGZ,15918.23
ARG,KHM,16965.0
ARG,KIR,13533.33
ARG,KNA,5799.189
ARG,KOR,19447.35
ARG,KWT,13226.28
ARG,LAO,17399.46
ARG,LBN,12396.9
ARG,LBR,6772.831
ARG,LBY,10587.62
ARG,LCA,5424.776
ARG,LKA,14774.54
ARG,LSO,7880.847
ARG,LTU,12731.28
ARG,LUX,11333.12
ARG,LVA,12773.93
ARG,MAR,9348.923
ARG,MDA,12571.03
ARG,MDG,10212.05
ARG,MDV,14040.08
ARG,MEX,7397.651
ARG,MKD,11787.62
ARG,MLI,7493.104
ARG,MLT,10906.92
ARG,MMR,16823.83
ARG,MNG,18125.58
ARG,MOZ,8503.743
ARG,MRT,7401.539
ARG,MUS,10927.78
ARG,MWI,9345.976
ARG,MYS,15970.66
ARG,NAM,7342.774
ARG,NER,8342.004
ARG,NGA,7938.363
ARG,NIC,5975.677
ARG,NLD,11466.75
