country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
GHA,17.1499695,0,1705.575082,238538,50.0769421,178.2055095,32.13687984,20.78519837,2.178206744,3192320531.0,English,48564863888.0,Africa,27849203.0
GIN,10.82068212,0,769.2554754,245857,45.1774908,99.46276203,26.32463978,18.47824205,3.81494989,53272458.42,French,8794202444.0,Africa,11432096.0
GMB,6.808454946,0,660.7235712,11295,38.81940064,104.0943992,17.14345306,22.20888602,4.058073804,-1692732.888,English,1378176868.0,Africa,2085860.0
GNB,1.476720489,0,603.3993815,36125,43.78811542,93.10422561,12.25397134,46.78812527,6.134082941,18575499.45,Portuguese,1048229629.0,Africa,1737207.0
GNQ,1.676630853,0,11283.39805,28051,76.03050602,142.0181458,59.10058727,1.888390876,-9.110041149,233325072.8,Spanish,13185496836.0,Africa,1168575.0
GRC,-1.736036796,0,18050.09761,131621,38.57299489,89.84268084,14.51791441,3.870379016,-0.4378338258,1268938506.0,Greek,196591353872.0,Europe,10820883.0
GRD,-0.5154480314,0,9096.538652,345,40.62154266,108.3896654,12.32439773,7.428340961,6.443143733,153325880.4,English,997007925.9,America,109603.0
GTM,2.388720328,0,3994.636913,108889,45.53583611,171.8265134,22.73751094,9.967003032,4.092170586,1203355080.0,Spanish,62186186576.0,America,15567419.0
GUY,-1.001734328,0,5576.82607,214970,61.75463981,117.2699143,24.71867183,25.44308326,0.6873980562,137700000.0,English,4279840362.0,America,767433.0
HND,3.15783118,0,2302.204411,112088,92.4748081,127.3988486,25.64997094,12.21597845,3.840079971,1316679827.0,Spanish,20979767785.0,America,9112904.0
HRV,-0.4644990046,0,11781.73479,56538,67.63350719,100.1869237,21.37604776,3.010336887,2.431888573,52276286.8,Serbo-Croatian,49525747504.0,Europe,4203604.0
HTI,6.731840697,0,1389.119779,27750,30.72545837,265.9189468,25.97545776,17.24028523,1.616915115,105680000.0,French,14857386164.0,America,10695540.0
HUN,-0.06164468006,1,12706.89121,93032,152.3070857,100.8207672,26.40388802,3.792589888,3.819428379,-5266437315.0,Hungarian,125074286021.0,Europe,9843028.0
IDN,6.363121131,0,3331.695115,1933658,34.04304562,116.1478699,40.0478624,13.49264356,4.8763223,19779127977.0,Indonesian,860854235065.0,Asia,258383257.0
